V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q1,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q5_1,Q5_2,Q5_3,Q6,LocationLatitude,LocationLongitude,LocationAccuracy,
R_1BWv28eBWYdrTwH,Default Response Set,Anonymous,,,107.12.230.142,0,2016-07-05 07:16:26,2016-07-05 07:17:40,1,1,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat low,Somewhat low,Neutral,Neutral,Somewhat high,Somewhat agree,Somewhat agree,Somewhat agree,,34.900802612305,-76.826202392578,-1,
R_3qs5wDTjVCpRXuD,Default Response Set,Anonymous,,,152.16.191.34,0,2016-07-05 09:24:55,2016-07-05 09:31:02,1,1,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat low,Very low,Very high,Very low,Very low,Somewhat agree,Somewhat agree,Neither agree nor disagree,"Really fantastically designed and easy to use MAR. However, to be truly useful, it would require patients to have been part of a single EMR (or a linked EMR) for the duration of their treatments, which often is not the case. I believe that a situation similar to the case presented here, in which a patient was followed for 20-years, would be extremely rare. /  / Additionally, this does not solve what I believe to be the biggest problem of managing a patient's medications, their actual compliance. I do not think that filling of a Rx would be a good substitute of patient medication compliance, and I worry that displaying such information in the MAR might lead to the assumption among healthcare providers that the patient was actually compliant with taking their medications.",36.037796020508,-78.985801696777,-1,
R_3GfvZmTtzDpBN5q,Default Response Set,Anonymous,,,96.10.36.62,0,2016-07-05 09:47:22,2016-07-05 09:48:24,1,1,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neutral,Very low,Somewhat high,Somewhat low,Very low,Somewhat agree,Somewhat agree,Somewhat agree,,35.746307373047,-78.723899841309,-1,
R_Xhd4cHoJKAmdm25,Default Response Set,Anonymous,,,152.16.191.34,0,2016-07-05 11:01:18,2016-07-05 11:03:17,1,1,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat high,Somewhat low,Somewhat high,Somewhat high,Somewhat high,Strongly agree,Strongly agree,Strongly agree,,36.037796020508,-78.985801696777,-1,
R_2ymaxpbkXhMMp9p,Default Response Set,Anonymous,,,71.77.79.176,0,2016-07-05 11:36:07,2016-07-05 11:37:28,1,1,Strongly disagree,Strongly disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Very low,Very low,Very high,Somewhat low,Somewhat low,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,This application is applicable to medical specialties. Surgical specialties would find this absolutely useless.,36.037796020508,-78.985801696777,-1,
R_00pfU3qa5Fr8Ywh,Default Response Set,Anonymous,,,152.16.191.92,0,2016-07-05 12:48:47,2016-07-05 12:49:03,1,1,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very high,Very high,Very high,Very high,Very high,Strongly agree,Strongly agree,Strongly agree,,36.037796020508,-78.985801696777,-1,
R_1JLt246b6RSqKRj,Default Response Set,Anonymous,,,152.16.191.34,0,2016-07-05 18:08:27,2016-07-05 18:09:34,1,1,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neutral,Very low,Very high,Neutral,Somewhat low,Strongly agree,Strongly agree,Strongly agree,,36.037796020508,-78.985801696777,-1,
R_3dRDIV5r7iyl3SX,Default Response Set,Anonymous,,,24.163.89.102,0,2016-07-05 19:01:43,2016-07-05 19:02:03,1,1,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,36.037796020508,-78.985801696777,-1,
R_V1IKPqxENCzBer7,Default Response Set,Anonymous,,,152.16.191.61,0,2016-07-06 04:50:49,2016-07-06 04:53:14,1,1,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neutral,Neutral,Somewhat high,Neutral,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,,36.037796020508,-78.985801696777,-1,
R_2QR6C3idve1ku5c,Default Response Set,Anonymous,,,174.109.101.32,0,2016-07-06 21:13:42,2016-07-06 21:15:08,1,1,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat low,Very low,Somewhat high,Neutral,Somewhat low,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,,35.995407104492,-78.901901245117,-1,
R_3EgmPH5mGKWGfi2,Default Response Set,Anonymous,,,152.16.191.21,0,2016-07-07 08:55:45,2016-07-07 08:56:53,1,1,Strongly agree,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat low,Somewhat low,Somewhat high,Somewhat low,Somewhat low,Strongly agree,Somewhat agree,Somewhat agree,,36.037796020508,-78.985801696777,-1,
R_2EgaVYr8jSHnLjX,Default Response Set,Anonymous,,,152.16.191.29,0,2016-07-07 11:41:29,2016-07-07 11:43:23,1,1,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Very low,Very low,Somewhat high,Somewhat low,Very low,Strongly agree,Strongly agree,Strongly agree,I liked this program a lot,36.037796020508,-78.985801696777,-1,
R_2TH0DjRTL6SG31X,Default Response Set,Anonymous,,,152.16.191.34,0,2016-07-07 12:13:38,2016-07-07 12:14:33,1,1,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat high,Neutral,Somewhat high,Somewhat high,Somewhat low,Somewhat disagree,Somewhat disagree,Somewhat disagree,,36.037796020508,-78.985801696777,-1,
R_3G2MJrWSNaoxJCW,Default Response Set,Anonymous,,,152.16.191.34,0,2016-07-07 12:40:57,2016-07-07 12:42:45,1,1,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat low,Very low,Neutral,Neutral,Somewhat low,Strongly agree,Strongly agree,Somewhat agree,,36.037796020508,-78.985801696777,-1,
R_1NmEyuX7smuQGy8,Default Response Set,Anonymous,,,24.163.74.102,0,2016-07-08 19:09:30,2016-07-08 19:14:40,1,1,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat high,Neutral,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,"I think I may have gotten one of the date of medication dosage changes questions wrong because I tried to zoom in to the proper date, and it didn't match with any of my answers.  When I zoomed in via the timeline it looked like a medication dosage was increased in Feb 2014, but the only answers available were December.  Perhaps if I had clicked on the medication dosage to find out when it was actually prescribed that would have been a more concrete way of determining things.  I feel like if we're allowed to zoom in that much though (to days), it should reflect an accurate date.  But REALLY LIKED IT.",36.092407226562,-78.901000976562,-1,
